location,bhk,washroom,total_sqft,furnishing,age,price,rent
Sonagiri,2,2,1099,Semi Furnished,1-5 years,64.54,66949.19
Barkheda,4,3,1758,Semi Furnished,1-5 years,81.25,68216.54
Kamla Nagar,5,4,2258,Fully Furnished,10+ years,122.33,121530.34
eidgah hills,4,3,1455,Unfurnished,5-10 years,85.28,95053.0
Gulmohar,4,3,1477,Fully Furnished,New,79.55,70413.6
Avadhpuri,3,3,1184,Unfurnished,New,51.67,53784.18
Gandhi nagar,2,2,726,Unfurnished,10+ years,37.19,34948.61
Arera Colony,3,3,1177,Fully Furnished,5-10 years,64.94,75089.54
Habibganj,3,3,1262,Semi Furnished,1-5 years,55.12,52573.25
Kamla Nagar,1,1,790,Fully Furnished,1-5 years,40.49,33232.07
Gulmohar,3,3,1544,Unfurnished,10+ years,67.84,54794.82
Narela,4,3,1734,Unfurnished,5-10 years,76.72,62282.47
Vikas Nagar,2,2,989,Semi Furnished,New,49.61,53300.47
Shanti Nagar,1,1,757,Semi Furnished,10+ years,34.08,29465.09
Narela,1,1,692,Unfurnished,10+ years,44.93,47523.41
Arjun Nagar,3,3,1268,Fully Furnished,New,66.96,72545.59
Anand nagar,2,2,1159,Fully Furnished,1-5 years,53.44,61916.54
Sonagiri,4,3,2171,Fully Furnished,New,127.14,104843.12
Vijay nagar,2,2,883,Fully Furnished,10+ years,37.45,30793.01
Chuna Bhatti,5,4,2915,Fully Furnished,5-10 years,190.11,173575.94
Ratnagiri,1,1,573,Fully Furnished,10+ years,40.09,38185.33
eidgah hills,3,3,1165,Semi Furnished,10+ years,55.19,52101.84
Kolar Road,3,3,1577,Unfurnished,10+ years,96.32,81512.0
VIP road,1,1,591,Unfurnished,5-10 years,35.96,34076.02
Prabhat petrol pump,4,3,1915,Semi Furnished,1-5 years,89.59,104815.66
Vijay nagar,1,1,730,Semi Furnished,1-5 years,49.77,54827.44
Prabhat petrol pump,1,1,443,Semi Furnished,5-10 years,25.42,27254.94
Chuna Bhatti,5,4,2884,Fully Furnished,5-10 years,187.1,185676.51
Shanti Nagar,1,1,641,Unfurnished,New,40.09,47200.23
Narela,5,4,2203,Fully Furnished,1-5 years,143.82,140776.65
chuna bhatti,1,1,682,Fully Furnished,New,42.12,46532.28
Gulmohar,1,1,653,Semi Furnished,10+ years,28.03,31775.12
Kolar Road,3,3,1565,Fully Furnished,1-5 years,84.28,87089.84
Govindpura,5,4,2848,Semi Furnished,10+ years,170.61,182165.06
Vikas Nagar,3,3,1367,Unfurnished,10+ years,69.65,57967.03
Anand nagar,4,3,2114,Semi Furnished,New,100.39,101473.58
jahangirabad,2,2,792,Unfurnished,1-5 years,52.33,48137.93
Gulmohar,4,3,1970,Semi Furnished,New,94.53,98223.41
Piplani,4,3,1902,Fully Furnished,New,85.94,100159.96
kohefiza,5,4,2926,Unfurnished,5-10 years,129.15,105051.07
sultaniya road,4,3,1866,Fully Furnished,New,108.26,105505.07
eidgah hills,3,3,1134,Unfurnished,1-5 years,75.83,72412.54
Ayodhya nagar,5,4,2127,Unfurnished,10+ years,95.43,114008.83
Shyamla Hills,4,3,1740,Unfurnished,New,106.5,123915.51
Ratnagiri,3,3,1570,Unfurnished,5-10 years,87.23,87813.81
Piplani,1,1,547,Semi Furnished,5-10 years,37.62,35149.08
Habibganj,2,2,751,Unfurnished,1-5 years,48.33,48180.48
sultaniya road,3,3,1500,Fully Furnished,5-10 years,71.48,78176.11
Gulmohar,2,2,1051,Semi Furnished,1-5 years,59.41,69251.55
Ratnagiri,4,3,1776,Fully Furnished,New,97.18,92209.89
Habibganj,2,2,786,Semi Furnished,1-5 years,48.17,46000.48
Sonagiri,1,1,417,Unfurnished,1-5 years,20.85,24604.77
Service road,5,4,2008,Unfurnished,5-10 years,111.33,128075.27
Hoshangabad Road,3,3,1557,Fully Furnished,5-10 years,93.28,88841.24
Service road,1,1,792,Unfurnished,1-5 years,34.92,41868.94
Shyamla Hills,5,4,2828,Unfurnished,5-10 years,187.77,159615.1
Ayodhya bypass,4,3,1483,Semi Furnished,New,79.62,69336.94
Kolar hills,5,4,2931,Fully Furnished,1-5 years,178.17,143048.57
jahangirabad,1,1,784,Unfurnished,New,46.41,55500.84
char Imli,4,3,1994,Unfurnished,5-10 years,119.11,123813.41
Arera Colony,2,2,1177,Unfurnished,1-5 years,61.93,58169.34
Saket nagar,2,2,1120,Semi Furnished,New,69.3,78663.34
Lalghati,5,4,2518,Unfurnished,5-10 years,165.83,175138.92
Sonagiri,1,1,655,Unfurnished,5-10 years,29.42,25521.87
Sonagiri,2,2,1014,Fully Furnished,10+ years,62.57,61163.77
New market,4,3,1756,Semi Furnished,1-5 years,73.92,77583.51
Ayodhya nagar,2,2,1009,Semi Furnished,10+ years,55.73,58568.92
char Imli,2,2,775,Fully Furnished,5-10 years,35.02,33841.73
Chuna Bhatti,2,2,739,Unfurnished,1-5 years,44.9,43054.09
Anand nagar,1,1,662,Unfurnished,5-10 years,32.94,28911.81
Kamla Nagar,4,3,1969,Fully Furnished,5-10 years,84.83,79532.99
Narela,2,2,713,Unfurnished,1-5 years,49.89,48196.28
Ayodhya bypass,1,1,757,Semi Furnished,New,47.82,45943.63
Sonagiri,3,3,1597,Unfurnished,New,109.81,97786.7
char Imli,3,3,1323,Unfurnished,5-10 years,77.92,63434.16
Avadhpuri,3,3,1561,Semi Furnished,1-5 years,70.87,74305.95
Gandhi nagar,2,2,799,Semi Furnished,1-5 years,52.25,56207.49
Shyamla Hills,5,4,2429,Semi Furnished,10+ years,123.19,145077.32
Kolar Road,1,1,770,Fully Furnished,New,30.81,30361.46
kohefiza,2,2,763,Semi Furnished,5-10 years,53.08,58310.39
Indrapuri,2,2,836,Semi Furnished,New,52.52,54531.72
Sonagiri,5,4,2110,Unfurnished,1-5 years,101.66,94723.86
Roshanpura,1,1,410,Unfurnished,1-5 years,23.12,25115.43
Ayodhya nagar,5,4,2268,Semi Furnished,New,142.92,156865.09
VIP road,5,4,2155,Fully Furnished,10+ years,109.94,103306.47
Tajul masjid,1,1,487,Fully Furnished,5-10 years,22.32,23504.3
Hoshangabad Road,5,4,2437,Semi Furnished,1-5 years,150.68,145667.75
Misrod,2,2,1144,Fully Furnished,5-10 years,68.63,70660.14
Kolar hills,3,3,1141,Fully Furnished,1-5 years,51.94,56491.61
Anand nagar,5,4,2786,Fully Furnished,5-10 years,191.17,205265.06
Vijay nagar,1,1,434,Fully Furnished,New,24.5,24508.53
VIP road,3,3,1351,Semi Furnished,1-5 years,63.53,54601.24
Minal,4,3,1540,Fully Furnished,5-10 years,106.5,94856.69
Shyamla Hills,5,4,2085,Semi Furnished,5-10 years,133.33,135730.42
Tajul masjid,1,1,559,Unfurnished,5-10 years,36.99,37823.2
eidgah hills,3,3,1196,Unfurnished,10+ years,63.86,54674.4
Bawadiya Kalan,2,2,927,Semi Furnished,1-5 years,61.01,65382.09
Habibganj,5,4,2305,Fully Furnished,5-10 years,160.75,159778.74
Piplani,5,4,2650,Semi Furnished,5-10 years,172.23,144427.62
kohefiza,2,2,869,Fully Furnished,5-10 years,44.47,47141.5
Bawadiya Kalan,2,2,824,Semi Furnished,10+ years,51.77,57708.69
Gandhi nagar,5,4,2834,Fully Furnished,5-10 years,120.89,125266.51
Tajul masjid,3,3,1240,Unfurnished,10+ years,67.21,78038.68
VIP road,3,3,1175,Semi Furnished,10+ years,62.39,55798.55
Arera Colony,1,1,415,Semi Furnished,10+ years,26.75,31413.25
Ashoka garden,5,4,2408,Fully Furnished,5-10 years,111.28,116015.69
Indrapuri,2,2,842,Fully Furnished,New,36.09,41048.62
Ayodhya bypass,5,4,2890,Semi Furnished,New,178.76,174652.45
Bawadiya Kalan,1,1,513,Semi Furnished,New,31.49,27593.64
Bittan Market,4,3,1521,Semi Furnished,New,86.41,74952.57
eidgah hills,1,1,600,Semi Furnished,New,33.04,28113.63
chuna bhatti,2,2,782,Semi Furnished,1-5 years,53.9,63861.36
Minal,3,3,1458,Unfurnished,5-10 years,94.83,81586.98
Misrod,2,2,982,Fully Furnished,New,52.31,59257.82
Karond,5,4,2424,Fully Furnished,1-5 years,150.17,169060.23
Nizamuddin colony,3,3,1495,Semi Furnished,New,99.05,99488.43
sultaniya road,3,3,1433,Unfurnished,10+ years,89.82,105179.46
VIP road,5,4,2999,Fully Furnished,10+ years,151.76,128943.19
Kamla Nagar,1,1,425,Unfurnished,New,26.17,21513.36
Piplani,3,3,1318,Fully Furnished,10+ years,73.69,84628.25
Prabhat petrol pump,1,1,694,Unfurnished,5-10 years,47.61,53833.79
Karond,2,2,947,Semi Furnished,5-10 years,41.35,38819.7
Hoshangabad Road,3,3,1458,Unfurnished,10+ years,96.64,100428.93
Bairagarh,5,4,2297,Unfurnished,New,127.1,125122.04
Prabhat petrol pump,3,3,1427,Unfurnished,10+ years,77.39,73280.11
kohefiza,5,4,2033,Semi Furnished,New,109.59,130041.64
Anand nagar,1,1,539,Fully Furnished,10+ years,36.25,41528.07
Misrod,1,1,445,Unfurnished,New,19.66,19935.9
Bittan Market,5,4,2745,Semi Furnished,1-5 years,161.97,180631.03
Barkheda,2,2,1085,Unfurnished,5-10 years,71.56,67542.09
Barkheda,3,3,1512,Fully Furnished,1-5 years,101.2,112293.7
Lalghati,1,1,712,Fully Furnished,1-5 years,46.02,50771.88
Lalghati,5,4,2435,Fully Furnished,5-10 years,116.12,102656.08
Chuna Bhatti,1,1,769,Fully Furnished,5-10 years,53.51,52449.88
Habibganj,4,3,1961,Semi Furnished,1-5 years,89.99,79218.35
MP Nagar,1,1,447,Fully Furnished,5-10 years,23.49,27770.82
Service road,1,1,641,Semi Furnished,1-5 years,43.64,40489.04
Kolar Road,5,4,2180,Semi Furnished,1-5 years,96.14,113860.64
char Imli,3,3,1388,Fully Furnished,1-5 years,60.27,71859.97
Saket nagar,5,4,2133,Fully Furnished,5-10 years,90.42,94519.36
Kamla Nagar,2,2,992,Semi Furnished,10+ years,60.35,56663.07
MP Nagar,1,1,561,Semi Furnished,New,33.96,27370.02
New market,5,4,2627,Semi Furnished,10+ years,153.62,141532.86
Bairagarh,1,1,457,Fully Furnished,5-10 years,24.64,23208.52
Karond,1,1,579,Fully Furnished,10+ years,26.46,22296.5
Gandhi nagar,4,3,1899,Unfurnished,5-10 years,84.72,98055.42
Roshanpura,4,3,1787,Unfurnished,10+ years,93.14,106596.28
Ayodhya bypass,5,4,2243,Semi Furnished,10+ years,102.33,118461.62
Kamla Nagar,1,1,414,Unfurnished,10+ years,18.12,17573.17
MP Nagar,4,3,1735,Fully Furnished,5-10 years,108.19,116614.19
kohefiza,2,2,916,Unfurnished,New,42.59,35331.27
Govindpura,4,3,1688,Unfurnished,1-5 years,76.29,81409.0
Kolar Road,1,1,660,Unfurnished,5-10 years,26.44,31138.34
ibrahimpura,2,2,947,Unfurnished,10+ years,43.52,40806.09
Bawadiya Kalan,4,3,2057,Unfurnished,10+ years,113.93,124467.36
Arjun Nagar,5,4,2179,Semi Furnished,1-5 years,147.87,168980.76
Ashoka garden,1,1,559,Fully Furnished,1-5 years,24.96,28211.57
Bawadiya Kalan,1,1,487,Fully Furnished,10+ years,29.05,33511.32
Saket nagar,4,3,1874,Unfurnished,1-5 years,131.08,146589.22
Kolar Road,3,3,1414,Semi Furnished,1-5 years,61.66,51831.62
jahangirabad,3,3,1052,Fully Furnished,10+ years,48.41,39454.18
New market,1,1,646,Semi Furnished,New,30.92,26473.25
Karond,4,3,1855,Semi Furnished,10+ years,117.29,101874.01
VIP road,2,2,1020,Fully Furnished,New,64.76,77429.77
Hoshangabad Road,3,3,1153,Fully Furnished,New,69.7,71526.67
Piplani,3,3,1187,Fully Furnished,New,68.09,63230.7
jahangirabad,3,3,1147,Semi Furnished,1-5 years,46.15,45418.41
VIP road,4,3,1761,Semi Furnished,1-5 years,76.3,74834.55
Chuna Bhatti,2,2,1106,Unfurnished,5-10 years,71.18,69576.19
Chuna Bhatti,5,4,2976,Fully Furnished,5-10 years,153.19,142855.44
Chuna Bhatti,3,3,1202,Semi Furnished,1-5 years,67.59,62257.17
Bittan Market,3,3,1167,Unfurnished,New,55.38,66179.98
Kolar Road,4,3,1891,Unfurnished,5-10 years,115.19,112171.06
Narela,5,4,2885,Fully Furnished,10+ years,129.67,122721.13
Indrapuri,3,3,1164,Semi Furnished,5-10 years,71.12,76051.43
New market,2,2,784,Unfurnished,1-5 years,44.01,37827.35
Tajul masjid,2,2,1140,Semi Furnished,New,54.77,62616.0
Shivaji Nagar,5,4,2892,Fully Furnished,10+ years,194.37,178944.21
Prabhat petrol pump,3,3,1357,Fully Furnished,10+ years,55.0,44277.31
Kamla Nagar,5,4,2627,Fully Furnished,5-10 years,136.73,153164.83
Nizamuddin colony,2,2,723,Unfurnished,1-5 years,49.27,52037.05
Hoshangabad Road,4,3,1407,Semi Furnished,10+ years,66.96,53949.62
jahangirabad,3,3,1466,Semi Furnished,New,88.62,103808.64
Shivaji Nagar,1,1,515,Unfurnished,New,27.29,22354.21
Nizamuddin colony,2,2,702,Semi Furnished,New,38.69,38174.34
Narela,3,3,1539,Unfurnished,10+ years,89.87,100976.71
ibrahimpura,1,1,790,Fully Furnished,5-10 years,45.68,45862.62
Narela,5,4,2426,Fully Furnished,New,164.27,197073.3
Misrod,5,4,2117,Unfurnished,10+ years,95.45,76942.09
Indrapuri,3,3,1303,Semi Furnished,1-5 years,57.84,67725.06
Narela,2,2,1118,Semi Furnished,New,73.17,67053.1
VIP road,1,1,747,Fully Furnished,1-5 years,42.84,46789.77
Bawadiya Kalan,1,1,708,Fully Furnished,1-5 years,43.72,47932.25
Ratnagiri,5,4,2801,Fully Furnished,New,176.53,174574.84
Chuna Bhatti,3,3,1568,Fully Furnished,10+ years,65.13,73238.89
Arjun Nagar,5,4,2172,Unfurnished,5-10 years,109.44,109174.67
Sonagiri,1,1,632,Fully Furnished,1-5 years,36.28,29274.24
Lalghati,5,4,2267,Fully Furnished,10+ years,120.82,143134.39
Vikas Nagar,5,4,2427,Unfurnished,10+ years,150.97,136309.29
Ashoka garden,2,2,1076,Semi Furnished,1-5 years,65.44,70832.33
Kolar hills,3,3,1315,Semi Furnished,New,55.82,60305.45
Gulmohar,1,1,718,Semi Furnished,1-5 years,40.03,41442.33
Shanti Nagar,5,4,2642,Fully Furnished,10+ years,106.77,101752.34
Indrapuri,3,3,1140,Fully Furnished,5-10 years,61.53,50782.91
Narela,3,3,1160,Unfurnished,5-10 years,55.61,55111.07
Prabhat petrol pump,1,1,410,Semi Furnished,10+ years,23.98,23697.0
kohefiza,3,3,1170,Semi Furnished,New,68.21,64484.05
Kamla Nagar,3,3,1332,Semi Furnished,New,66.22,74650.82
kohefiza,1,1,691,Semi Furnished,New,30.68,34072.19
Vikas Nagar,1,1,578,Unfurnished,1-5 years,30.63,29514.95
eidgah hills,1,1,643,Semi Furnished,5-10 years,29.65,27591.39
Anand nagar,1,1,651,Semi Furnished,10+ years,35.06,28503.34
Arjun Nagar,3,3,1074,Unfurnished,1-5 years,67.52,72016.11
Habibganj,2,2,750,Fully Furnished,5-10 years,45.01,45527.5
chuna bhatti,1,1,777,Semi Furnished,1-5 years,53.86,64619.4
Anand nagar,1,1,491,Fully Furnished,5-10 years,31.86,36557.06
Chuna Bhatti,1,1,578,Semi Furnished,10+ years,27.93,33513.11
chuna bhatti,4,3,1759,Fully Furnished,New,84.77,69537.44
Vijay nagar,2,2,1118,Unfurnished,5-10 years,76.07,83316.3
Gandhi nagar,4,3,2094,Fully Furnished,10+ years,90.97,94007.99
VIP road,4,3,2069,Fully Furnished,5-10 years,83.49,78122.96
ibrahimpura,5,4,2146,Fully Furnished,5-10 years,124.66,116867.49
Kamla Nagar,3,3,1015,Fully Furnished,10+ years,56.96,63439.49
Karond,4,3,1519,Unfurnished,1-5 years,71.49,67000.88
eidgah hills,4,3,1636,Unfurnished,New,83.46,89867.42
Shanti Nagar,3,3,1293,Unfurnished,New,88.56,81705.33
Avadhpuri,5,4,2734,Semi Furnished,1-5 years,183.16,204404.5
Ayodhya bypass,3,3,1092,Fully Furnished,New,71.86,62170.36
Service road,3,3,1155,Semi Furnished,1-5 years,56.16,52739.57
Bittan Market,1,1,770,Unfurnished,5-10 years,31.64,37936.43
Vijay nagar,4,3,1947,Semi Furnished,1-5 years,122.42,117809.26
Shivaji Nagar,4,3,1897,Semi Furnished,5-10 years,84.65,80654.07
Shivaji Nagar,1,1,714,Semi Furnished,New,42.96,38339.92
Avadhpuri,5,4,2947,Unfurnished,10+ years,168.2,150881.46
Gandhi nagar,1,1,683,Semi Furnished,1-5 years,35.4,39576.48
Minal,3,3,1271,Semi Furnished,1-5 years,71.19,75217.65
Kolar Road,2,2,841,Fully Furnished,New,50.56,55994.79
Shyamla Hills,5,4,2033,Semi Furnished,1-5 years,122.34,142892.13
Saket nagar,4,3,1897,Semi Furnished,1-5 years,129.4,153841.79
Avadhpuri,5,4,2498,Unfurnished,New,109.04,110849.74
Shivaji Nagar,5,4,2805,Semi Furnished,10+ years,116.11,120007.51
Bawadiya Kalan,4,3,1698,Semi Furnished,5-10 years,104.49,110808.63
Habibganj,5,4,2725,Semi Furnished,10+ years,159.71,154266.34
Sonagiri,2,2,755,Fully Furnished,New,46.49,52170.2
Kolar Road,1,1,477,Semi Furnished,10+ years,28.44,25037.45
Shanti Nagar,5,4,2764,Unfurnished,1-5 years,145.53,171879.82
Indrapuri,1,1,614,Fully Furnished,New,29.74,24849.53
Misrod,1,1,800,Semi Furnished,New,55.13,63417.18
Govindpura,2,2,1097,Unfurnished,New,54.32,48459.52
Vikas Nagar,4,3,1731,Unfurnished,1-5 years,96.0,108251.09
Kolar hills,5,4,2650,Fully Furnished,1-5 years,161.07,187710.3
Saket nagar,3,3,1214,Unfurnished,1-5 years,57.58,65765.57
Shivaji Nagar,2,2,860,Semi Furnished,New,55.06,51047.63
Govindpura,4,3,1958,Unfurnished,1-5 years,115.86,116064.61
Arera Colony,1,1,720,Semi Furnished,New,32.73,28235.69
Prabhat petrol pump,3,3,1386,Unfurnished,New,94.47,98019.66
Gandhi nagar,5,4,2540,Semi Furnished,New,177.23,163195.56
Service road,1,1,544,Unfurnished,10+ years,29.11,25650.3
Karond,1,1,571,Unfurnished,5-10 years,29.83,29670.99
Govindpura,1,1,432,Semi Furnished,1-5 years,23.55,22574.66
Habibganj,5,4,2189,Semi Furnished,1-5 years,131.19,121564.83
char Imli,5,4,2456,Unfurnished,5-10 years,168.31,164286.34
Vikas Nagar,4,3,1835,Semi Furnished,5-10 years,96.65,81470.56
Misrod,4,3,2151,Semi Furnished,10+ years,135.55,124558.04
Shivaji Nagar,5,4,2640,Semi Furnished,10+ years,177.35,147029.32
Indrapuri,1,1,785,Fully Furnished,New,53.95,63135.65
Chuna Bhatti,1,1,647,Semi Furnished,5-10 years,28.21,30026.07
Habibganj,3,3,1474,Unfurnished,1-5 years,86.88,76936.67
Gulmohar,3,3,1561,Semi Furnished,5-10 years,76.74,76278.9
Kolar Road,5,4,2749,Semi Furnished,10+ years,112.95,120960.52
char Imli,1,1,534,Unfurnished,New,25.86,30725.35
Vijay nagar,1,1,653,Semi Furnished,10+ years,27.46,26432.79
MP Nagar,1,1,422,Unfurnished,10+ years,23.16,21124.25
Shyamla Hills,2,2,1113,Unfurnished,10+ years,60.59,52691.69
Lalghati,2,2,1180,Semi Furnished,New,78.09,80882.75
Karond,5,4,2099,Fully Furnished,10+ years,134.5,107943.61
Kolar Road,4,3,1700,Semi Furnished,10+ years,69.07,60102.27
Tajul masjid,1,1,731,Unfurnished,1-5 years,39.4,44879.34
Bairagarh,3,3,1595,Fully Furnished,5-10 years,99.88,98979.83
Avadhpuri,1,1,583,Semi Furnished,1-5 years,34.94,29250.5
chuna bhatti,3,3,1483,Semi Furnished,1-5 years,98.35,89850.53
Ayodhya bypass,5,4,2817,Fully Furnished,10+ years,193.4,176025.31
Gandhi nagar,3,3,1171,Fully Furnished,5-10 years,67.54,75567.79
chuna bhatti,4,3,1597,Semi Furnished,5-10 years,100.95,98529.11
char Imli,2,2,1126,Unfurnished,5-10 years,60.39,61306.01
Lalghati,5,4,2972,Semi Furnished,5-10 years,159.3,175254.42
Shyamla Hills,3,3,1236,Unfurnished,5-10 years,69.39,69758.84
Sonagiri,1,1,662,Unfurnished,New,37.58,40576.4
Ratnagiri,3,3,1528,Semi Furnished,1-5 years,82.18,68687.38
Saket nagar,5,4,2420,Semi Furnished,5-10 years,143.03,138970.14
sultaniya road,5,4,2642,Semi Furnished,5-10 years,106.55,106568.61
Tajul masjid,1,1,636,Semi Furnished,10+ years,26.03,21666.62
Habibganj,1,1,467,Unfurnished,5-10 years,26.23,22538.53
Misrod,4,3,1536,Unfurnished,New,77.37,77011.91
kohefiza,3,3,1414,Fully Furnished,5-10 years,85.09,88754.22
jahangirabad,4,3,1580,Unfurnished,New,65.63,75582.08
Kolar Road,3,3,1357,Fully Furnished,1-5 years,68.2,81563.44
Gandhi nagar,3,3,1178,Semi Furnished,New,77.96,78165.89
Arjun Nagar,4,3,1880,Unfurnished,New,112.46,93078.55
Karond,3,3,1465,Unfurnished,5-10 years,100.62,117782.91
Govindpura,5,4,2977,Fully Furnished,10+ years,194.66,170017.13
Gandhi nagar,1,1,530,Unfurnished,10+ years,29.22,28822.39
Kamla Nagar,2,2,833,Unfurnished,New,40.62,43309.51
Ayodhya bypass,2,2,916,Unfurnished,10+ years,39.34,41066.46
Piplani,1,1,665,Semi Furnished,10+ years,28.82,25482.23
Bittan Market,2,2,1160,Fully Furnished,10+ years,71.49,82477.02
kohefiza,1,1,469,Unfurnished,10+ years,27.34,27358.16
Prabhat petrol pump,4,3,1827,Fully Furnished,5-10 years,94.36,104638.42
MP Nagar,3,3,1102,Fully Furnished,5-10 years,76.58,87936.03
jahangirabad,5,4,2788,Unfurnished,5-10 years,183.41,155602.44
Ayodhya bypass,2,2,971,Fully Furnished,10+ years,60.43,54761.86
Ayodhya nagar,1,1,640,Semi Furnished,5-10 years,44.67,47467.39
Vijay nagar,3,3,1002,Fully Furnished,1-5 years,47.03,38690.72
sultaniya road,5,4,2954,Fully Furnished,1-5 years,131.92,121120.58
Prabhat petrol pump,2,2,798,Semi Furnished,1-5 years,42.88,43734.29
Ayodhya nagar,1,1,627,Fully Furnished,New,40.13,46091.71
MP Nagar,4,3,2029,Fully Furnished,1-5 years,106.79,94604.17
Minal,1,1,472,Unfurnished,New,30.94,26429.06
kohefiza,5,4,2240,Semi Furnished,1-5 years,152.38,131850.69
Kolar hills,2,2,1131,Unfurnished,5-10 years,47.98,49740.53
Prabhat petrol pump,5,4,2369,Fully Furnished,New,147.41,130971.94
Ayodhya bypass,1,1,545,Fully Furnished,1-5 years,22.44,22818.32
Prabhat petrol pump,5,4,2425,Unfurnished,New,131.7,145695.75
Karond,2,2,722,Unfurnished,1-5 years,34.8,37586.1
Service road,1,1,721,Semi Furnished,New,40.57,42620.01
Habibganj,1,1,617,Semi Furnished,1-5 years,37.77,42867.44
Karond,1,1,756,Fully Furnished,New,40.83,39187.33
Bittan Market,4,3,1950,Fully Furnished,New,116.97,137070.83
kohefiza,5,4,2938,Semi Furnished,1-5 years,202.86,180302.29
Ayodhya bypass,5,4,2457,Semi Furnished,10+ years,113.15,98394.48
Service road,3,3,1361,Semi Furnished,10+ years,66.72,62754.98
Service road,3,3,1555,Semi Furnished,5-10 years,106.15,125153.51
Bawadiya Kalan,4,3,1797,Semi Furnished,10+ years,114.53,121577.52
eidgah hills,2,2,974,Fully Furnished,10+ years,50.93,58040.34
Ayodhya bypass,3,3,1520,Unfurnished,New,62.25,74090.72
Avadhpuri,4,3,1576,Fully Furnished,New,93.68,95828.11
Sonagiri,3,3,1391,Semi Furnished,10+ years,89.78,82345.19
Arera Colony,1,1,705,Fully Furnished,5-10 years,38.71,37383.9
Ratnagiri,3,3,1423,Semi Furnished,New,60.33,72082.97
Misrod,3,3,1556,Semi Furnished,10+ years,66.61,76227.63
Minal,2,2,1100,Fully Furnished,New,73.08,75074.34
New market,3,3,1394,Semi Furnished,5-10 years,64.31,60171.35
Barkheda,4,3,1769,Fully Furnished,1-5 years,87.88,71518.54
Govindpura,5,4,2245,Fully Furnished,10+ years,140.65,164552.33
char Imli,5,4,2410,Unfurnished,New,98.35,96339.75
Kolar Road,5,4,2937,Semi Furnished,5-10 years,188.04,176954.72
ibrahimpura,2,2,836,Fully Furnished,New,35.08,31744.48
Minal,4,3,1439,Semi Furnished,5-10 years,95.57,95984.33
Lalghati,3,3,1202,Unfurnished,1-5 years,58.34,51257.65
Bittan Market,2,2,929,Fully Furnished,1-5 years,52.73,46526.85
Lalghati,3,3,1017,Semi Furnished,New,41.86,42934.52
Gandhi nagar,4,3,1717,Unfurnished,New,109.95,120217.74
jahangirabad,1,1,724,Fully Furnished,5-10 years,31.76,35583.92
Service road,1,1,662,Fully Furnished,5-10 years,26.97,31185.96
Piplani,4,3,1462,Unfurnished,5-10 years,63.3,60832.26
eidgah hills,2,2,1164,Fully Furnished,New,78.11,92257.85
Prabhat petrol pump,1,1,718,Semi Furnished,10+ years,45.06,48952.51
VIP road,2,2,901,Semi Furnished,New,49.7,51928.39
sultaniya road,2,2,1171,Unfurnished,New,61.48,57967.8
Misrod,5,4,2158,Unfurnished,1-5 years,100.95,109941.86
Kolar Road,2,2,877,Semi Furnished,New,59.21,59748.48
VIP road,4,3,1676,Semi Furnished,1-5 years,91.44,98445.11
Roshanpura,4,3,1699,Unfurnished,10+ years,68.8,64264.78
Anand nagar,1,1,411,Fully Furnished,10+ years,27.24,28479.9
Vijay nagar,3,3,1215,Unfurnished,10+ years,50.61,55659.18
Habibganj,4,3,1848,Unfurnished,5-10 years,82.67,74558.75
Prabhat petrol pump,1,1,485,Unfurnished,1-5 years,29.4,25144.72
Hoshangabad Road,3,3,1109,Semi Furnished,10+ years,66.04,62658.16
ibrahimpura,3,3,1325,Fully Furnished,5-10 years,73.79,86117.39
Piplani,3,3,1403,Semi Furnished,10+ years,91.78,79493.22
char Imli,2,2,1080,Fully Furnished,5-10 years,68.28,79610.76
Narela,1,1,445,Fully Furnished,10+ years,26.5,30240.83
Habibganj,2,2,779,Fully Furnished,New,39.11,39272.98
Sonagiri,1,1,587,Semi Furnished,5-10 years,29.95,24576.94
Gulmohar,2,2,1054,Semi Furnished,New,64.58,71633.71
Avadhpuri,3,3,1093,Unfurnished,5-10 years,75.69,69741.17
Chuna Bhatti,1,1,440,Fully Furnished,1-5 years,22.83,26229.39
Karond,5,4,2560,Fully Furnished,5-10 years,132.97,123553.04
Barkheda,5,4,2799,Fully Furnished,1-5 years,142.7,116452.25
Piplani,2,2,801,Fully Furnished,New,42.03,44601.23
Vikas Nagar,4,3,1978,Semi Furnished,1-5 years,79.74,70378.14
Chuna Bhatti,4,3,1593,Semi Furnished,New,88.35,75499.36
Habibganj,4,3,1881,Semi Furnished,10+ years,82.11,93412.43
Shyamla Hills,5,4,2229,Semi Furnished,New,127.51,148577.06
VIP road,1,1,558,Fully Furnished,New,30.24,24545.09
Hoshangabad Road,5,4,2230,Unfurnished,5-10 years,104.93,124480.16
Habibganj,4,3,1681,Unfurnished,5-10 years,81.05,70033.92
Shanti Nagar,4,3,1798,Unfurnished,New,115.84,131505.41
Prabhat petrol pump,3,3,1268,Unfurnished,1-5 years,62.29,57851.52
Habibganj,3,3,1382,Semi Furnished,New,74.48,74428.48
Piplani,2,2,1191,Unfurnished,1-5 years,65.15,69026.74
Service road,4,3,1595,Unfurnished,5-10 years,103.47,106384.98
Minal,2,2,848,Unfurnished,10+ years,50.39,48711.68
Lalghati,1,1,571,Semi Furnished,1-5 years,35.16,40790.66
Ayodhya nagar,2,2,909,Fully Furnished,10+ years,50.03,59212.81
