location,floors,rooms,washroom,total_sqft,furnishing,age,price,rent
Arera Colony,2,2,1,897,Furnished,19,6784961,20069
kohefiza,4,6,1,2392,Furnished,5,10756564,28093
Avadhpuri,3,5,4,1757,Unfurnished,29,7713408,22591
Chuna Bhatti,1,1,2,443,Furnished,5,2012859,4023
Anand nagar,1,2,1,624,Furnished,23,3601241,13685
Gulmohar,5,5,3,4836,Unfurnished,2,31011869,100211
Saket nagar,5,10,1,3094,Furnished,14,21030661,72817
Barkheda,5,11,1,3956,Unfurnished,2,17311534,50700
Nizamuddin colony,1,2,1,556,Semi-Furnished,30,3666499,10480
ibrahimpura,4,6,4,3370,Unfurnished,25,14542547,37432
char Imli,5,5,1,4899,Unfurnished,6,32363392,104720
Vikas Nagar,4,13,1,3271,Unfurnished,2,22218937,76106
Ratnagiri,1,1,2,772,Unfurnished,25,3587958,9684
Avadhpuri,4,10,3,3206,Semi-Furnished,24,14109440,43070
Govindpura,5,7,4,3655,Unfurnished,12,19334485,56944
Kolar Road,2,3,1,949,Furnished,12,4697300,15749
Prabhat petrol pump,4,8,1,2046,Unfurnished,19,10116921,26685
Roshanpura,4,7,3,2482,Semi-Furnished,8,11892772,34139
Minal,2,3,4,995,Semi-Furnished,17,4751840,11023
Roshanpura,2,3,1,848,Furnished,29,4108106,12635
New market,1,2,4,528,Unfurnished,15,3664822,9729
Karond,5,7,3,3757,Furnished,3,18426185,54493
Shanti Nagar,4,7,3,3461,Semi-Furnished,15,20513506,65010
Vikas Nagar,4,8,1,3065,Furnished,27,20811309,70013
Narela,4,5,4,2439,Furnished,26,10470027,27700
MP Nagar,3,7,1,1865,Furnished,11,15016821,47101
Minal,3,3,2,1633,Furnished,25,7697916,21456
Chuna Bhatti,5,11,4,4167,Unfurnished,21,19495907,56122
Shanti Nagar,5,5,4,3905,Semi-Furnished,6,22993945,74877
Arera Colony,4,5,2,2844,Semi-Furnished,24,21376358,70122
Piplani,1,1,2,734,Furnished,17,5169993,14203
New market,1,1,1,493,Semi-Furnished,10,3460923,12342
Prabhat petrol pump,3,4,3,1738,Furnished,1,8417787,23655
Tajul masjid,1,1,1,675,Furnished,28,3795267,11091
ibrahimpura,5,8,4,4092,Unfurnished,1,17637846,43926
Chuna Bhatti,1,2,3,699,Semi-Furnished,11,3368480,9007
Arera Colony,4,9,1,2303,Semi-Furnished,24,17326126,54170
char Imli,4,7,1,2566,Furnished,7,16925207,53050
New market,4,7,1,2520,Semi-Furnished,11,17636886,55040
Lalghati,2,2,3,818,Semi-Furnished,25,3941913,12161
Shyamla Hills,2,2,4,823,Furnished,19,6084256,21658
Ayodhya bypass,3,4,2,1521,Unfurnished,13,7983894,26028
Habibganj,5,10,3,4923,Unfurnished,21,27073938,86898
Nizamuddin colony,2,3,3,1125,Furnished,16,7410745,22175
Lalghati,4,4,2,3153,Semi-Furnished,22,15093521,45849
Prabhat petrol pump,2,3,3,941,Furnished,10,4570527,12618
Shanti Nagar,1,1,2,685,Furnished,1,4127018,14943
Tajul masjid,5,11,2,3081,Semi-Furnished,27,16941835,55910
Shivaji Nagar,1,1,3,529,Semi-Furnished,17,3119820,12495
Saket nagar,5,10,4,3228,Semi-Furnished,21,22023853,74174
sultaniya road,1,2,1,651,Semi-Furnished,10,3301227,11244
Ashoka garden,5,7,1,3710,Semi-Furnished,10,19329644,59686
Barkheda,3,6,3,1840,Furnished,24,8191117,23080
Roshanpura,2,2,2,1068,Unfurnished,30,5051741,13174
Gulmohar,4,4,2,2524,Furnished,3,16072390,53266
New market,5,10,1,4678,Furnished,6,32761369,103149
jahangirabad,4,6,2,3115,Unfurnished,6,14378108,38966
Nizamuddin colony,1,1,2,719,Semi-Furnished,15,4626932,15507
eidgah hills,2,3,1,909,Semi-Furnished,17,5506403,18551
Ayodhya nagar,5,5,2,3980,Furnished,30,24681695,89652
Misrod,3,6,3,1666,Furnished,28,7009101,17957
MP Nagar,5,9,1,3449,Furnished,7,27670849,85237
sultaniya road,2,4,1,1193,Semi-Furnished,1,6232786,17916
Piplani,5,7,4,3849,Unfurnished,16,27027171,86582
Kolar hills,1,1,4,616,Unfurnished,13,3108484,10662
Gulmohar,4,7,4,2212,Semi-Furnished,23,14178939,48441
Service road,5,15,3,4130,Unfurnished,5,23892192,78672
MP Nagar,3,3,1,1644,Unfurnished,6,13080498,42167
Saket nagar,1,1,3,466,Unfurnished,30,3138730,9070
chuna bhatti,4,4,3,2127,Furnished,22,10087074,26576
Gulmohar,1,1,1,464,Unfurnished,19,2874494,11301
Govindpura,2,3,1,806,Unfurnished,29,4298985,12067
Bairagarh,5,12,4,4330,Semi-Furnished,25,19459683,53361
Kolar hills,3,4,1,1435,Semi-Furnished,2,7126011,20979
Kolar Road,4,8,2,2544,Unfurnished,20,12818736,37887
Piplani,4,4,2,2149,Unfurnished,25,14994462,46703
Kolar hills,5,16,3,4956,Unfurnished,13,24729257,76189
Ratnagiri,3,5,4,1577,Furnished,6,7395343,21934
Bawadiya Kalan,1,1,1,420,Semi-Furnished,0,1797373,6421
Indrapuri,1,1,3,454,Unfurnished,0,1728184,5679
Vikas Nagar,1,1,4,746,Furnished,27,5051824,15283
VIP road,5,15,2,4784,Unfurnished,14,31051578,100024
Bittan Market,4,9,2,2698,Furnished,21,18862180,57814
Bittan Market,3,4,2,1412,Furnished,28,9972213,32082
Indrapuri,3,3,2,1217,Semi-Furnished,15,4892829,13812
Kolar Road,3,3,1,1219,Semi-Furnished,3,6039180,20143
Lalghati,2,3,3,997,Furnished,16,4879095,12623
Shyamla Hills,2,3,2,1113,Unfurnished,20,8389659,27492
eidgah hills,1,2,1,589,Semi-Furnished,1,3538264,10929
Indrapuri,5,12,1,3192,Semi-Furnished,2,12715128,30856
Lalghati,5,12,4,3556,Unfurnished,1,16983313,48143
Service road,4,7,1,2987,Furnished,0,17393251,57941
VIP road,5,17,4,4350,Furnished,9,28344919,91375
Karond,3,6,4,1881,Semi-Furnished,28,9183689,26063
char Imli,5,7,1,3736,Semi-Furnished,0,24667979,78461
Kolar Road,4,5,3,2927,Furnished,16,14691738,44278
Arjun Nagar,1,1,4,787,Semi-Furnished,5,4679885,15935
New market,4,9,4,2974,Furnished,19,20868568,65199
chuna bhatti,3,3,3,1804,Unfurnished,9,8393209,24967
ibrahimpura,1,1,2,695,Unfurnished,6,3033437,9619
Roshanpura,3,4,4,1497,Unfurnished,20,7270725,20628
Sonagiri,2,4,3,1192,Semi-Furnished,28,5536772,12537
Ashoka garden,3,5,1,1635,Unfurnished,20,8448397,24253
Chuna Bhatti,1,1,1,563,Semi-Furnished,6,2729665,6572
Kolar Road,1,1,3,602,Furnished,20,2965733,10091
Bawadiya Kalan,1,1,1,422,Unfurnished,12,1949853,3279
Vijay nagar,2,2,2,1053,Unfurnished,1,7514810,26016
Ayodhya nagar,4,7,3,2181,Unfurnished,10,13598994,50007
eidgah hills,2,3,2,974,Unfurnished,23,5853478,20049
eidgah hills,4,5,1,2392,Unfurnished,23,14395878,47203
Sonagiri,1,1,4,561,Semi-Furnished,5,2651410,5666
Arera Colony,3,3,1,1801,Furnished,0,13448256,44472
Arera Colony,3,7,1,1894,Furnished,2,14233084,47409
Gandhi nagar,4,8,2,2392,Unfurnished,1,14851312,55387
Roshanpura,4,7,4,2577,Semi-Furnished,13,12442246,37727
Kolar hills,4,8,1,3456,Unfurnished,0,17193949,52072
eidgah hills,1,1,2,525,Unfurnished,12,3223112,9467
Vijay nagar,2,3,3,1100,Furnished,4,8005892,28222
Service road,2,4,3,1070,Unfurnished,19,6166741,18620
Vijay nagar,3,5,4,1399,Semi-Furnished,2,10032722,34849
Karond,5,17,3,4992,Furnished,26,24542074,68529
Narela,2,3,4,881,Semi-Furnished,12,3815725,7978
Roshanpura,4,6,4,2063,Furnished,13,9882806,29813
Minal,2,3,4,1170,Furnished,5,5415601,15683
Prabhat petrol pump,4,5,3,3123,Furnished,2,15276113,44191
Hoshangabad Road,2,4,1,1113,Furnished,0,5730452,16923
kohefiza,4,6,3,2945,Furnished,18,13170080,37058
New market,4,5,4,3341,Furnished,30,23389904,74190
Avadhpuri,5,14,3,3553,Semi-Furnished,24,15654474,46445
kohefiza,5,13,1,3701,Semi-Furnished,2,16732694,45243
Bawadiya Kalan,4,12,4,3358,Semi-Furnished,4,15016770,39422
ibrahimpura,5,13,3,3593,Furnished,7,15427767,39684
sultaniya road,5,13,4,4658,Semi-Furnished,6,24151998,74872
Nizamuddin colony,4,10,4,3000,Furnished,30,19463283,63893
Minal,2,3,2,889,Furnished,18,4274292,13186
Vikas Nagar,5,10,2,4260,Unfurnished,23,28956764,97844
Misrod,4,4,3,3488,Semi-Furnished,7,14726465,39070
Kamla Nagar,3,6,1,1991,Unfurnished,12,10311230,30752
Ratnagiri,5,5,2,4556,Furnished,21,21378369,60242
Lalghati,1,1,2,796,Semi-Furnished,0,3800372,12448
chuna bhatti,3,4,2,1714,Unfurnished,19,8034232,23325
ibrahimpura,4,10,1,2852,Semi-Furnished,14,12321874,30296
Shyamla Hills,2,3,2,950,Furnished,14,7057484,23259
Bawadiya Kalan,3,5,1,1685,Furnished,4,7574620,20431
Anand nagar,1,2,3,639,Semi-Furnished,8,3758503,12446
Service road,4,11,4,2797,Unfurnished,16,16172913,53344
Vijay nagar,3,5,3,1961,Unfurnished,19,14157216,47499
eidgah hills,5,11,3,4041,Furnished,15,24221438,82555
MP Nagar,4,4,1,2012,Furnished,18,16023002,52206
Roshanpura,3,5,2,1332,Furnished,22,6487385,19251
Service road,5,17,4,4657,Semi-Furnished,11,27063944,87634
kohefiza,1,1,2,674,Furnished,2,3088537,9451
Nizamuddin colony,3,6,1,1963,Semi-Furnished,23,12778635,42967
Ayodhya nagar,4,5,2,2478,Unfurnished,17,15336550,58975
Anand nagar,2,2,1,1019,Unfurnished,12,5920144,21095
Prabhat petrol pump,3,5,2,1870,Semi-Furnished,5,9137863,27168
Barkheda,5,11,4,3710,Furnished,23,16410668,47927
Service road,1,1,2,403,Semi-Furnished,30,2339272,6458
Shivaji Nagar,3,5,4,1977,Semi-Furnished,28,11913763,38508
Minal,3,5,2,1668,Furnished,15,7826541,22885
Vikas Nagar,3,5,1,1718,Unfurnished,11,11742424,38164
Service road,2,3,1,1145,Semi-Furnished,8,6704049,22858
Ayodhya bypass,3,4,1,1236,Furnished,0,6585325,18252
Chuna Bhatti,4,4,4,2353,Unfurnished,21,11065404,30295
Narela,4,10,3,2808,Furnished,10,12040711,29224
Vikas Nagar,4,6,3,3062,Semi-Furnished,12,20911304,71287
Gandhi nagar,3,3,1,1224,Unfurnished,16,7626247,27239
Saket nagar,1,1,2,481,Semi-Furnished,10,3243239,10970
Shyamla Hills,2,2,4,1119,Semi-Furnished,16,8309520,28720
Lalghati,1,1,4,734,Unfurnished,0,3430351,8882
MP Nagar,4,7,4,2073,Unfurnished,19,16514349,51827
Indrapuri,5,5,2,4078,Unfurnished,10,16379037,42728
Roshanpura,2,4,1,1175,Unfurnished,16,5551092,17168
Shyamla Hills,2,2,4,934,Semi-Furnished,1,7010442,22213
Arera Colony,3,5,3,1476,Semi-Furnished,4,11095191,33601
Kolar Road,5,13,4,3822,Furnished,26,19096668,56475
Karond,2,2,4,840,Furnished,19,4150860,13283
Minal,5,13,1,3336,Semi-Furnished,16,15620207,44224
Shivaji Nagar,4,4,4,2336,Furnished,17,13946732,47973
Misrod,1,1,3,786,Furnished,14,3299866,9529
ibrahimpura,3,3,3,1929,Furnished,7,8230333,20148
Shanti Nagar,4,6,3,2049,Unfurnished,19,12108334,39400
Kamla Nagar,1,1,2,441,Furnished,23,2226761,8208
Bittan Market,5,6,2,3985,Unfurnished,19,27850715,85822
Gulmohar,1,2,2,748,Unfurnished,22,4826456,13976
Bittan Market,2,4,4,1031,Unfurnished,4,7178731,21515
Nizamuddin colony,1,1,4,571,Semi-Furnished,30,3720699,13130
Service road,2,2,1,960,Unfurnished,24,5652219,18644
Indrapuri,1,2,4,531,Furnished,6,2139763,5875
Prabhat petrol pump,3,3,1,1236,Semi-Furnished,13,6082803,18587
Ashoka garden,2,2,2,1067,Furnished,26,5603283,17714
chuna bhatti,5,16,4,4056,Furnished,28,19046733,54458
Ayodhya bypass,1,1,3,690,Unfurnished,28,3725703,9489
Service road,2,3,1,1119,Unfurnished,14,6445707,20137
MP Nagar,4,5,4,2383,Unfurnished,9,18972662,59265
Kolar Road,1,2,2,788,Unfurnished,2,3925165,11808
Service road,5,6,1,3126,Unfurnished,6,18118730,58352
Indrapuri,5,12,2,4235,Unfurnished,17,16909845,41758
kohefiza,4,4,3,2509,Unfurnished,1,11251752,28969
Kamla Nagar,5,10,3,4473,Furnished,29,23341821,72813
Shanti Nagar,4,10,2,3038,Furnished,18,17834151,59059
chuna bhatti,2,4,2,1147,Unfurnished,15,5427195,16860
chuna bhatti,4,10,2,2943,Semi-Furnished,10,13822681,36401
eidgah hills,5,9,2,3509,Furnished,21,21138019,68447
Indrapuri,5,6,1,4650,Furnished,7,18645691,44616
Narela,1,1,1,418,Unfurnished,29,1797422,4281
Minal,2,2,1,814,Unfurnished,23,3834537,10883
Roshanpura,5,12,2,4858,Unfurnished,10,23373443,66963
Kamla Nagar,3,4,2,1581,Furnished,27,8207226,25831
Ayodhya bypass,2,3,1,979,Unfurnished,22,5160507,14691
Tajul masjid,4,4,4,2895,Semi-Furnished,20,15831979,52231
Service road,5,12,2,4626,Unfurnished,30,26862508,89218
Vikas Nagar,4,9,3,2352,Unfurnished,19,15941618,52315
VIP road,4,7,3,2297,Unfurnished,3,14847546,47304
Misrod,3,4,1,1544,Semi-Furnished,11,6542282,18339
Karond,5,6,3,3887,Furnished,28,19021854,55056
Ayodhya nagar,2,3,1,1185,Unfurnished,24,7358910,25409
New market,5,13,1,4433,Furnished,21,31107401,95671
Bittan Market,3,3,3,1234,Semi-Furnished,6,8542507,25431
Anand nagar,3,7,3,1751,Furnished,6,10195858,31543
Nizamuddin colony,5,13,2,4149,Semi-Furnished,24,27023906,86291
Lalghati,4,10,1,2771,Furnished,15,13239765,37384
Ayodhya nagar,3,7,3,1944,Furnished,27,12069627,45326
Prabhat petrol pump,1,2,2,581,Furnished,2,2892956,7290
Arera Colony,4,6,2,2615,Furnished,18,19664974,64725
eidgah hills,1,1,2,451,Semi-Furnished,27,2726343,10834
ibrahimpura,5,16,1,4063,Semi-Furnished,2,17497430,44527
Bawadiya Kalan,5,11,2,4178,Unfurnished,30,18865185,51203
Arjun Nagar,4,5,2,2128,Unfurnished,18,12707328,43691
Bairagarh,3,7,1,1831,Furnished,4,8276439,20550
Service road,3,5,2,1855,Unfurnished,9,10793129,33491
Saket nagar,1,1,4,457,Semi-Furnished,30,3184001,11178
Piplani,4,12,3,3142,Furnished,11,21964526,69736
sultaniya road,5,11,2,4525,Unfurnished,21,23611989,71861
New market,5,17,2,4772,Furnished,1,33332398,103129
chuna bhatti,4,9,3,2293,Semi-Furnished,0,10792284,31693
Shanti Nagar,5,11,3,4218,Furnished,28,24876071,78481
char Imli,3,5,2,1715,Unfurnished,26,11224558,36059
sultaniya road,4,5,4,2167,Unfurnished,15,11351186,34160
Gulmohar,3,5,2,1395,Furnished,27,8887107,28614
Saket nagar,2,3,4,808,Unfurnished,30,5565091,19123
Vijay nagar,5,8,3,4028,Furnished,4,29078048,94845
Nizamuddin colony,4,9,1,2446,Furnished,2,15869293,51170
Indrapuri,1,2,3,679,Furnished,19,2679050,7658
Vikas Nagar,3,3,2,1901,Unfurnished,29,12848597,42768
Narela,5,15,3,3762,Unfurnished,26,16263112,41951
Anand nagar,5,12,1,3578,Semi-Furnished,18,20715947,67501
eidgah hills,4,11,3,3440,Furnished,8,20593872,70472
eidgah hills,1,1,4,557,Furnished,8,3379963,9601
ibrahimpura,3,6,2,1670,Unfurnished,23,7262188,19571
Kolar Road,4,7,3,2285,Furnished,4,11518866,32347
Kolar Road,5,9,4,3264,Semi-Furnished,12,16267643,47826
Shivaji Nagar,5,8,1,3658,Unfurnished,3,21997119,72020
Shyamla Hills,1,3,1,789,Semi-Furnished,14,5997685,19878
Piplani,4,9,3,3094,Furnished,28,21659930,66661
Ashoka garden,2,2,3,976,Furnished,21,5133686,17370
Bittan Market,2,2,1,1122,Furnished,22,7814965,22967
Ayodhya nagar,5,14,2,4625,Furnished,24,28584165,107502
MP Nagar,1,1,1,481,Furnished,11,3792887,13513
Narela,4,6,3,2215,Unfurnished,3,9489784,23387
eidgah hills,4,5,4,2116,Furnished,14,12757361,42531
Sonagiri,1,1,3,579,Unfurnished,0,2618908,7081
Ashoka garden,5,14,4,3725,Semi-Furnished,3,19336055,61472
char Imli,4,7,4,3135,Unfurnished,9,20742536,65042
Avadhpuri,3,6,3,1789,Semi-Furnished,3,7798010,24933
Anand nagar,1,1,4,738,Furnished,1,4237348,15628
kohefiza,3,6,3,1553,Semi-Furnished,19,6928839,17698
Lalghati,1,1,2,461,Unfurnished,3,2197207,6807
Shivaji Nagar,3,3,3,1672,Semi-Furnished,16,9942020,31604
jahangirabad,5,17,1,4861,Semi-Furnished,10,22277529,57133
Barkheda,3,4,1,1444,Semi-Furnished,0,6359364,18077
Saket nagar,2,3,3,830,Semi-Furnished,15,5546229,18074
Hoshangabad Road,4,13,4,3328,Unfurnished,6,17070916,50027
Shanti Nagar,4,12,3,3493,Unfurnished,16,20518787,65526
Kolar hills,5,6,1,3888,Semi-Furnished,24,19471670,58937
MP Nagar,1,2,4,742,Unfurnished,28,5998166,19177
Minal,4,5,4,2677,Semi-Furnished,6,12528424,35279
Habibganj,5,10,4,3504,Semi-Furnished,17,19290195,63107
Hoshangabad Road,2,4,3,1012,Unfurnished,6,5197671,16201
Arjun Nagar,5,13,2,4142,Semi-Furnished,9,24805247,84145
Arera Colony,2,2,4,921,Semi-Furnished,15,6950020,23952
Anand nagar,2,3,3,870,Unfurnished,1,5053393,14836
eidgah hills,4,5,4,2208,Furnished,12,13276968,45319
Vijay nagar,5,5,3,3979,Semi-Furnished,25,28685447,95827
Vikas Nagar,5,13,2,4770,Furnished,14,32372591,108427
New market,1,2,1,789,Semi-Furnished,8,5519217,19159
Service road,5,7,1,4138,Furnished,28,24073624,77666
kohefiza,2,2,2,967,Unfurnished,24,4270418,13480
Bittan Market,1,1,1,452,Furnished,26,3194653,8594
Kolar hills,1,2,2,770,Semi-Furnished,9,3919757,10206
Vijay nagar,1,2,2,543,Furnished,8,3988047,14641
Shyamla Hills,2,4,1,1145,Furnished,17,8686014,29582
Shyamla Hills,5,16,2,4825,Furnished,15,36170450,118627
Vijay nagar,3,4,2,1417,Semi-Furnished,25,10129583,33116
Chuna Bhatti,4,5,3,2568,Unfurnished,30,11994584,33413
Indrapuri,4,8,4,2428,Semi-Furnished,30,9760066,25112
Govindpura,3,4,3,1989,Unfurnished,26,10601956,31945
Ratnagiri,2,3,4,801,Unfurnished,1,3792178,8949
Habibganj,2,3,2,815,Furnished,14,4458615,14523
Roshanpura,5,9,2,4504,Furnished,12,21626049,63279
Sonagiri,3,3,4,1454,Furnished,14,6630572,17256
kohefiza,1,2,4,605,Furnished,22,2734438,5730
Misrod,5,16,4,4706,Furnished,6,19673341,52758
Gulmohar,2,3,3,887,Furnished,5,5739170,18138
Tajul masjid,5,11,3,3585,Semi-Furnished,10,19738098,62556
Kolar Road,5,12,4,4904,Furnished,29,24618679,75549
Bairagarh,2,2,2,1122,Unfurnished,3,5081724,12920
Gandhi nagar,1,1,1,651,Semi-Furnished,8,4073258,13928
kohefiza,1,1,3,716,Semi-Furnished,23,3228504,10239
Prabhat petrol pump,2,2,4,965,Furnished,13,4806873,14985
VIP road,2,2,4,1173,Unfurnished,2,7655449,24463
Govindpura,4,10,4,3110,Furnished,14,16477419,50549
Shanti Nagar,4,5,1,2303,Furnished,19,13517197,42244
Shanti Nagar,3,3,4,1286,Semi-Furnished,24,7624846,24684
New market,1,2,2,720,Furnished,11,4941694,15023
Kamla Nagar,2,3,2,1073,Semi-Furnished,1,5533105,17143
kohefiza,2,3,3,805,Furnished,28,3593004,11145
kohefiza,2,4,2,1080,Semi-Furnished,3,4935147,14307
Kolar hills,5,5,3,4053,Furnished,25,20339483,59501
Ratnagiri,4,4,1,2510,Furnished,30,11721974,34368
Vijay nagar,3,3,4,1618,Unfurnished,6,11664538,39848
Vikas Nagar,2,2,3,1045,Semi-Furnished,19,7193769,24666
Vikas Nagar,1,1,1,402,Furnished,18,2708326,8628
Ayodhya nagar,5,7,4,3273,Semi-Furnished,13,20302957,75971
Ashoka garden,5,12,1,4487,Semi-Furnished,22,23411582,71830
Sonagiri,2,2,1,972,Unfurnished,8,4392027,11687
Nizamuddin colony,3,5,2,1900,Unfurnished,21,12254688,41845
Nizamuddin colony,5,15,3,4185,Semi-Furnished,10,27184237,87819
Anand nagar,2,3,2,823,Furnished,22,4728675,14177
Bittan Market,1,1,4,672,Unfurnished,6,4717114,15316
Kamla Nagar,4,4,2,2068,Semi-Furnished,26,10849232,33768
sultaniya road,2,2,3,1188,Furnished,5,6212853,17977
Saket nagar,4,9,1,2831,Furnished,4,19215037,66576
Indrapuri,5,14,3,4805,Furnished,5,19197049,49707
New market,4,7,4,2792,Unfurnished,22,19469045,62920
Piplani,1,1,1,563,Unfurnished,14,3884285,13788
Arjun Nagar,1,1,1,572,Unfurnished,29,3515912,10481
Shivaji Nagar,5,10,3,3809,Unfurnished,23,22848929,74901
eidgah hills,2,2,1,852,Semi-Furnished,16,5114248,16743
Saket nagar,3,3,4,1333,Semi-Furnished,24,9072681,31489
ibrahimpura,5,12,2,3296,Semi-Furnished,3,14214342,37528
ibrahimpura,2,2,1,1033,Furnished,1,4351168,11232
VIP road,1,2,4,695,Unfurnished,18,4427412,14046
Lalghati,1,1,4,714,Semi-Furnished,2,3342774,11667
Karond,5,9,3,3166,Semi-Furnished,6,15500686,43544
Sonagiri,3,4,3,1611,Semi-Furnished,16,7345171,20549
kohefiza,2,3,1,895,Semi-Furnished,4,3985027,11994
Misrod,3,5,2,1692,Semi-Furnished,30,7162183,18929
Gandhi nagar,1,1,4,458,Furnished,16,2823677,9750
Habibganj,5,7,1,4685,Furnished,2,25679451,82332
Saket nagar,2,2,4,866,Furnished,13,5807714,20170
Service road,1,2,2,594,Semi-Furnished,29,3389577,11306
Shyamla Hills,1,2,3,639,Unfurnished,12,4839324,15406
Gandhi nagar,5,5,4,3049,Furnished,29,18824602,68167
jahangirabad,2,3,1,875,Unfurnished,19,4105344,10987
Arera Colony,1,1,1,762,Semi-Furnished,18,5709577,16867
sultaniya road,3,3,1,1329,Semi-Furnished,28,6912661,21620
Kamla Nagar,1,3,2,771,Furnished,25,3960358,13042
VIP road,4,6,2,2267,Semi-Furnished,19,14684503,47025
Avadhpuri,5,13,3,4148,Furnished,16,18251121,54340
kohefiza,1,1,2,636,Furnished,28,2799082,9042
Prabhat petrol pump,5,10,3,4887,Semi-Furnished,24,23945291,70123
Piplani,5,9,4,3014,Furnished,9,21123248,65442
Hoshangabad Road,1,1,2,403,Unfurnished,20,1958193,6976
Gulmohar,1,1,3,542,Semi-Furnished,21,3517965,12406
Arjun Nagar,4,10,3,2640,Unfurnished,6,15922183,54087
Shivaji Nagar,2,2,1,801,Furnished,9,4747176,16383
Kamla Nagar,2,3,3,880,Unfurnished,2,4602033,12219
Anand nagar,1,2,1,515,Semi-Furnished,28,2906437,8359
New market,1,3,3,751,Unfurnished,0,5349795,16757
Arera Colony,1,1,4,691,Furnished,2,5157700,17760
Habibganj,1,1,2,793,Semi-Furnished,12,4293536,15764
kohefiza,2,4,4,1062,Semi-Furnished,26,4847482,10942
jahangirabad,5,16,4,4221,Furnished,23,19384380,49524
Shivaji Nagar,5,11,3,3694,Furnished,27,22149323,73151
Tajul masjid,5,9,1,4957,Semi-Furnished,0,27224234,87695
Avadhpuri,3,3,2,1561,Unfurnished,9,6884751,20224
Bittan Market,5,13,1,3692,Semi-Furnished,16,25866304,80918
Minal,1,2,1,614,Unfurnished,6,2847569,7118
chuna bhatti,4,7,1,2590,Semi-Furnished,24,12170755,33297
Gandhi nagar,4,12,3,3315,Semi-Furnished,7,20529236,74869
char Imli,4,7,1,2328,Unfurnished,7,15441342,47978
Ratnagiri,5,5,2,4119,Furnished,5,19278062,52798
Saket nagar,2,2,1,824,Unfurnished,18,5625020,17640
Nizamuddin colony,2,4,1,1100,Furnished,0,7071388,23880
Ratnagiri,3,6,1,1759,Unfurnished,11,8178660,23496
Prabhat petrol pump,2,2,2,808,Semi-Furnished,5,3982909,10901
kohefiza,2,3,1,982,Furnished,3,4368204,13494
Anand nagar,5,13,1,3730,Semi-Furnished,15,21706770,69004
kohefiza,3,5,1,1867,Unfurnished,11,8419763,23134
VIP road,1,2,1,571,Unfurnished,16,3805299,10135
Sonagiri,3,4,1,1904,Furnished,2,8848245,21617
Barkheda,3,3,4,1390,Furnished,4,6172149,19292
Sonagiri,5,6,4,3604,Unfurnished,6,16664505,43616
Vijay nagar,1,1,1,582,Semi-Furnished,6,4175306,14388
Sonagiri,3,3,1,1683,Unfurnished,0,7809599,19597
Kolar hills,3,3,2,1207,Semi-Furnished,1,5937002,17598
Narela,1,1,4,499,Unfurnished,14,2050638,3921
Bairagarh,2,3,1,807,Semi-Furnished,29,3618111,8039
Bairagarh,3,3,3,1752,Semi-Furnished,16,7877866,22988
Piplani,2,2,1,1185,Unfurnished,1,8226184,26872
Bairagarh,4,4,3,3425,Furnished,13,15478633,40601
Karond,5,10,1,3462,Unfurnished,5,16964660,48481
kohefiza,5,9,1,3774,Furnished,2,16920430,46432
Ayodhya bypass,1,2,4,695,Unfurnished,15,3594619,12508
kohefiza,2,2,3,1007,Unfurnished,3,4543799,10583
Minal,4,11,3,2859,Semi-Furnished,8,13389803,36748
sultaniya road,3,4,3,1615,Furnished,20,8452947,25913
Barkheda,1,1,4,753,Furnished,5,3345953,11548
sultaniya road,5,6,2,3288,Semi-Furnished,1,17021412,54343
Hoshangabad Road,3,6,1,1736,Unfurnished,29,8806080,27842
Govindpura,4,12,2,3272,Furnished,29,17289753,52053
ibrahimpura,5,14,4,4723,Semi-Furnished,7,20228693,50349
Roshanpura,1,2,1,587,Unfurnished,27,2881124,8562
sultaniya road,4,6,2,2103,Semi-Furnished,15,11007256,35311
Gandhi nagar,4,9,4,3212,Furnished,21,19898319,74115
Kolar hills,2,2,4,885,Semi-Furnished,10,4497716,14636
Piplani,5,10,3,3596,Unfurnished,5,25123481,78298
VIP road,3,6,3,1955,Unfurnished,18,12690690,39408
Ayodhya bypass,5,8,2,4536,Furnished,2,24015067,72481
Ratnagiri,5,16,3,4043,Semi-Furnished,25,19018688,52577
Tajul masjid,3,4,3,1325,Furnished,5,7308765,23037
New market,4,4,1,2924,Unfurnished,4,20441095,66254
jahangirabad,1,1,4,606,Furnished,1,2883401,6287
chuna bhatti,4,11,2,3367,Unfurnished,19,15787946,45473
Barkheda,3,5,3,1277,Semi-Furnished,10,5532605,15404
Ayodhya nagar,3,4,4,1712,Unfurnished,25,10544937,38011
Avadhpuri,4,8,2,2743,Unfurnished,18,12147881,34894
chuna bhatti,2,3,2,988,Semi-Furnished,9,4549645,11910
Ashoka garden,1,2,4,558,Furnished,1,2996270,10112
Anand nagar,1,1,4,800,Semi-Furnished,10,4736880,13609
Bairagarh,3,4,4,1337,Semi-Furnished,30,5975651,15193
Misrod,3,5,4,1386,Unfurnished,17,5768253,16195
Indrapuri,4,7,2,2183,Unfurnished,22,8817603,22248
Nizamuddin colony,2,3,2,840,Semi-Furnished,23,5550807,18356
Saket nagar,2,2,4,918,Semi-Furnished,4,6162115,22279
Bairagarh,4,4,3,2525,Unfurnished,24,11294791,28766
chuna bhatti,1,1,3,625,Unfurnished,11,2992333,8151
jahangirabad,4,9,3,3130,Unfurnished,11,14454567,38026
